sl_no,vehicle_name,buying_price,selling_price,make_year,vehicle_age,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage
8502,Volkswagen Vento Petrol Highline,1048000,670000,2012,8,Dealer,37000,First Owner,Petrol,Manual,15.04
8503,Hyundai Verna 1.6 CRDi S,1190000,625000,2015,5,Individual,70000,First Owner,Diesel,Manual,23.9
8504,Maruti Baleno Alpha,687000,750000,2019,1,Dealer,14171,First Owner,Petrol,Manual,21.01
8505,Toyota Fortuner 4x2 AT,4124000,1300000,2014,6,Dealer,266007,First Owner,Diesel,Automatic,12.55
8506,BMW 3 Series 320i,5461000,1500000,2012,8,Dealer,76186,First Owner,Petrol,Automatic,12.05
8507,Ford Figo Petrol Titanium,684000,370000,2011,9,Dealer,56000,First Owner,Petrol,Manual,15.6
8508,Maruti Alto 800 VXI,335000,240000,2017,3,Individual,35000,First Owner,Petrol,Manual,24.7
8509,Skoda Superb Elegance 1.8 TSI AT,3826000,1065000,2013,7,Dealer,55572,First Owner,Petrol,Automatic,13.7
8510,Tata Tiago 1.2 Revotron XZ,565000,550000,2019,1,Individual,20000,First Owner,Petrol,Manual,23.84
8511,Mahindra Scorpio SLX 2.6 Turbo 8 Str,1449000,295000,2007,13,Dealer,92000,First Owner,Diesel,Manual,10.5
8512,Maruti Wagon R VXI with ABS,571000,450000,2014,6,Dealer,39264,First Owner,Petrol,Manual,20.51
8513,Ford Ecosport 1.5 DV5 MT Titanium Optional,1051000,570000,2013,7,Dealer,57000,First Owner,Diesel,Manual,22.7
8514,Hyundai Grand i10 1.2 Kappa Sportz BSIV,706000,595000,2019,1,Dealer,9000,First Owner,Petrol,Manual,18.9
8515,Hyundai Creta 1.4 CRDi S,1170000,869999,2017,3,Individual,50000,First Owner,Diesel,Manual,21.38
8516,Maruti Wagon R VXI BSIII,511000,120000,2008,12,Individual,80000,First Owner,Petrol,Manual,18.9
8517,Renault KWID RXT Optional,376000,409999,2019,1,Individual,15000,First Owner,Petrol,Manual,25.17
8518,Hyundai Creta 1.4 CRDi S Plus,1233000,1100000,2018,2,Individual,25000,First Owner,Diesel,Manual,21.38
8519,Toyota Yaris V CVT BSIV,1033000,1080000,2018,2,Individual,25000,First Owner,Petrol,Automatic,17.8
8520,Renault KWID RXL,367000,330000,2019,1,Individual,10000,First Owner,Petrol,Manual,25.17
8521,Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,1024000,875000,2019,1,Dealer,13050,First Owner,Diesel,Manual,22.77
8522,Toyota Innova Crysta 2016-2020 2.4 VX MT BSIV,1998999,1650000,2016,4,Dealer,91771,First Owner,Diesel,Manual,13.68
8523,Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,1077000,775000,2015,5,Dealer,66000,First Owner,Diesel,Manual,22.77
8524,Honda City VX MT,1362000,1100000,2019,1,Dealer,10229,First Owner,Petrol,Manual,17.4
8525,Hyundai Venue SX Opt Turbo BSIV,806000,1075000,2019,1,Dealer,11000,First Owner,Petrol,Manual,18.27
8526,Renault KWID RXT,400000,310000,2016,4,Dealer,40500,First Owner,Petrol,Manual,25.17
8527,Datsun RediGO 1.0 S,341000,250000,2017,3,Individual,35000,First Owner,Petrol,Manual,22.5
8528,Tata Tigor 1.2 Revotron XT,608000,500000,2018,2,Individual,35000,First Owner,Petrol,Manual,20.3
8529,Mahindra Bolero DI BSIII,967000,385000,2009,11,Dealer,139000,First Owner,Diesel,Manual,13.6
8530,Mahindra XUV500 AT W8 FWD,1661000,1185000,2016,4,Dealer,59000,First Owner,Diesel,Automatic,16
8531,Honda CR-V AT With Sun Roof,3268000,1692000,2017,3,Dealer,76000,First Owner,Petrol,Automatic,14
8532,Maruti Wagon R VXI BS IV,511000,210000,2012,8,Individual,82088,First Owner,Petrol,Manual,18.9
8533,Maruti Celerio VXI MT BSIV,526000,450000,2018,2,Individual,22000,First Owner,Petrol,Manual,23.1
8534,Hyundai i20 Sportz 1.4 CRDi,926000,300000,2013,7,Individual,90000,First Owner,Diesel,Manual,21.9
8535,Ford Figo Diesel EXI,934000,425000,2015,5,Dealer,96000,First Owner,Diesel,Manual,20
8536,Maruti Wagon R VXI,540000,409999,2017,3,Dealer,44000,First Owner,Petrol,Manual,20.51
8537,Hyundai Grand i10 Magna,733000,495000,2016,4,Dealer,29000,First Owner,Petrol,Manual,18.9
8538,Maruti Swift VXI,624000,325000,2012,8,Dealer,49000,First Owner,Petrol,Manual,21.21
8539,Volkswagen Polo Petrol Comfortline 1.2L,700000,320000,2011,9,Dealer,61000,First Owner,Petrol,Manual,16.47
8540,Mercedes-Benz E-Class E250 CDI Blue Efficiency,7991000,975000,2010,10,Dealer,85000,First Owner,Diesel,Automatic,14.21
8541,Maruti Wagon R VXI Plus,540000,440000,2016,4,Individual,14000,First Owner,Petrol,Manual,20.51
8542,Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,733000,640000,2018,2,Individual,5000,First Owner,Petrol,Manual,18.9
8543,Maruti Ertiga VXI CNG,1022000,649000,2014,6,Dealer,48000,First Owner,CNG,Manual,22.8
8544,Maruti Swift LXI Option SP Limited Edition,651000,525000,2016,4,Dealer,42000,First Owner,Petrol,Manual,20.4
8545,Mahindra XUV500 W11 Option BSIV,1782999,1775000,2018,2,Dealer,46000,First Owner,Diesel,Manual,15.1
8546,Hyundai Creta 1.6 SX Option Diesel,1232000,1125000,2016,4,Dealer,70000,First Owner,Diesel,Manual,20.5
8547,Maruti Alto 800 CNG LXI,498000,260000,2014,6,Dealer,60000,First Owner,CNG,Manual,30.46
8548,Hyundai Verna CRDi 1.6 AT SX Plus,1219000,980000,2017,3,Individual,40000,First Owner,Diesel,Automatic,22
8549,Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,1041000,950000,2018,2,Individual,25000,First Owner,Diesel,Manual,23
8550,Maruti Alto 800 VXI BSIV,332000,335000,2019,1,Trustmark Dealer,22987,First Owner,Petrol,Manual,24.7
8551,Maruti Celerio VXI AT,555000,450000,2016,4,Individual,30000,First Owner,Petrol,Automatic,23.1
8552,Mahindra XUV500 2011-2015 W8 FWD,1659000,800000,2014,6,Individual,220000,First Owner,Diesel,Manual,15.1
8553,Ford Ecosport 1.5 DV5 MT Trend,1041000,420000,2013,7,Dealer,68281,First Owner,Diesel,Manual,22.7
8554,Hyundai i20 Asta Option Diesel,989000,875000,2018,2,Dealer,38000,First Owner,Diesel,Manual,22.54
8555,Honda City 1.5 S MT,1362000,530000,2011,9,Individual,85000,First Owner,Petrol,Manual,17
8556,BMW 5 Series 520d Sport Line,7320000,3900000,2018,2,Dealer,12000,First Owner,Diesel,Automatic,22.48
8557,Hyundai i10 Era 1.1,705000,175000,2008,12,Dealer,51000,First Owner,Petrol,Manual,19.81
8558,Maruti Ertiga VXI CNG,1022000,795000,2018,2,Dealer,25000,First Owner,CNG,Manual,17.5
8559,Skoda Rapid 1.6 MPI Elegance,868000,295000,2012,8,Dealer,57000,First Owner,Petrol,Manual,15
8560,Maruti Baleno Zeta,687000,750000,2020,0,Individual,7000,First Owner,Petrol,Manual,21.01
8561,Maruti Swift AMT VXI,604000,660000,2019,1,Trustmark Dealer,11893,First Owner,Petrol,Automatic,21.21
8562,Ford Ecosport 2015-2021 1.5 TDCi Trend BSIV,1077000,725000,2015,5,Dealer,36203,First Owner,Diesel,Manual,22.77
8563,Hyundai Grand i10 AT Asta,706000,430000,2014,6,Dealer,70000,First Owner,Petrol,Automatic,18.9
8564,Ford Ecosport 2015-2021 1.5 Petrol Titanium Plus AT,990000,865000,2016,4,Dealer,47935,First Owner,Petrol,Automatic,14.7
8565,Hyundai Verna VTVT 1.6 SX,1091000,969999,2019,1,Individual,15000,First Owner,Petrol,Manual,17
8566,Maruti Ertiga BSIV VXI,922000,750000,2017,3,Individual,20000,First Owner,Petrol,Manual,17.5
8567,Hyundai i20 1.2 Magna,822000,300000,2011,9,Dealer,65000,First Owner,Petrol,Manual,18.5
8568,BMW 5 Series 525d Sedan,7604000,1290000,2010,10,Dealer,48000,First Owner,Diesel,Automatic,16.73
8569,Hyundai i10 Sportz 1.2,733000,385000,2011,9,Dealer,83347,First Owner,Petrol,Manual,20.36
8570,Maruti Alto 800 LXI,360000,270000,2015,5,Dealer,49000,First Owner,Petrol,Manual,22.74
8571,Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,1046000,990000,2018,2,Individual,60000,First Owner,Diesel,Manual,23
8572,Maruti Alto 800 CNG LXI,497000,325000,2016,4,Dealer,77658,First Owner,CNG,Manual,33.44
8573,Ford Figo Diesel ZXI,934000,365000,2012,8,Dealer,79000,First Owner,Diesel,Manual,20
8574,Honda City 2017-2020 GXi,1280000,140000,2008,12,Individual,122671,First Owner,Petrol,Manual,17.7
8575,Honda WR-V i-VTEC VX,960000,733000,2017,3,Dealer,22500,First Owner,Petrol,Manual,17.5
8576,Hyundai Verna 1.6 CRDI,1336000,630000,2012,8,Individual,90000,First Owner,Diesel,Manual,22.32
8577,Honda City i DTEC SV,1488000,580000,2014,6,Dealer,62000,First Owner,Diesel,Manual,26
8578,Hyundai i20 Asta 1.4 CRDi (Diesel),926000,215000,2010,10,Individual,78000,First Owner,Diesel,Manual,23
8579,Hyundai Grand i10 Magna,648000,360000,2014,6,Dealer,39000,First Owner,Petrol,Manual,18.9
8580,Maruti Ciaz 1.4 Zeta,968000,725000,2017,3,Dealer,58000,First Owner,Petrol,Manual,20.73
8581,Hyundai i20 1.2 Magna,791000,275000,2011,9,Dealer,50000,First Owner,Petrol,Manual,18.5
8582,Honda City 2017-2020 GXi,1362000,249000,2006,14,Dealer,89500,First Owner,Petrol,Manual,17.7
8583,Ford Figo Diesel Titanium,913000,285000,2012,8,Dealer,106000,First Owner,Diesel,Manual,20
8584,Maruti Ertiga VXI,892000,650000,2014,6,Individual,60000,First Owner,Petrol,Manual,16.02
8585,Honda CR-V AT With Sun Roof,3268000,1485000,2015,5,Dealer,148500,First Owner,Petrol,Automatic,14
8586,Maruti Eeco 7 Seater Standard BSIV,478000,370000,2019,1,Individual,30000,First Owner,Petrol,Manual,15.37
8587,Mahindra XUV500 W8 2WD,1782999,825000,2012,8,Dealer,120442,First Owner,Diesel,Manual,15.1
8588,Maruti Wagon R LXI CNG,610000,385000,2015,5,Dealer,25000,First Owner,CNG,Manual,26.2
8589,Maruti Swift Dzire VXi,653000,340000,2012,8,Dealer,45000,First Owner,Petrol,Manual,17.5
8590,Renault KWID 1.0 RXT Optional,367000,330000,2017,3,Individual,25000,First Owner,Petrol,Manual,23.01
8591,Datsun RediGO 1.0 S,400000,280000,2018,2,Dealer,22500,First Owner,Petrol,Manual,22.5
8592,Hyundai Verna VTVT 1.6 AT SX Option,1056000,1050000,2017,3,Dealer,23000,First Owner,Petrol,Automatic,17
8593,Hyundai i20 1.2 Asta,819000,635000,2018,2,Individual,30000,First Owner,Petrol,Manual,18.6
8594,Honda City i DTec VX,1488000,825000,2016,4,Dealer,50000,First Owner,Diesel,Manual,26
8595,Tata Hexa XT,1410000,1198000,2018,2,Dealer,84523,First Owner,Diesel,Manual,17.6
8596,Hyundai i20 Era 1.2,819000,530000,2016,4,Individual,50000,First Owner,Petrol,Manual,18.6
8597,Hyundai i20 1.2 Asta Dual Tone,802999,625000,2017,3,Trustmark Dealer,33181,First Owner,Petrol,Manual,18.6
8598,Maruti Swift Dzire VXI AT Optional,736000,699000,2017,3,Dealer,11437,First Owner,Petrol,Automatic,18.5
8599,Maruti Celerio VXI AT,555000,465000,2014,6,Dealer,29000,First Owner,Petrol,Automatic,23.1
8600,Maruti Swift ZXI ABS,683000,320000,2009,11,Individual,100000,First Owner,Petrol,Manual,16.1
8601,Maruti Ciaz 1.4 Zeta,968000,690000,2017,3,Dealer,45003,First Owner,Petrol,Manual,20.73
8602,Honda City V MT,1290000,445000,2013,7,Dealer,47000,First Owner,Petrol,Manual,16.8
8603,Honda Jazz V CVT,919999,725000,2017,3,Dealer,41000,First Owner,Petrol,Automatic,18.2
8604,Mercedes-Benz S-Class S 500 L,16900000,1285000,2007,13,Dealer,100000,First Owner,Petrol,Automatic,7.81
8605,Maruti Ciaz Alpha BSIV,1001000,950000,2019,1,Individual,8500,First Owner,Petrol,Manual,21.56
8606,Hyundai Creta 1.6 CRDi AT SX Plus,1339000,1175000,2016,4,Dealer,48000,First Owner,Diesel,Automatic,17.01
8607,Honda City VX CVT,1362000,1145000,2017,3,Dealer,27880,First Owner,Petrol,Automatic,18.4
8608,Maruti Wagon R VXI AMT,571000,545000,2019,1,Dealer,8401,First Owner,Petrol,Automatic,21.79
8609,Hyundai Verna Transform CRDi VGT ABS,1315000,325000,2011,9,Individual,48000,First Owner,Diesel,Manual,16.2
8610,Hyundai i20 1.4 CRDi Asta,968000,625000,2015,5,Dealer,98000,First Owner,Diesel,Manual,23
8611,Ford Ecosport 2015-2021 1.5 Ti VCT AT Titanium BSIV,919000,649000,2016,4,Dealer,41500,First Owner,Petrol,Automatic,15.63
8612,Ford Ecosport 2015-2021 1.5 Ti VCT AT Titanium BSIV,990000,785000,2015,5,Dealer,61087,First Owner,Petrol,Automatic,15.63
8613,Ford Aspire Titanium Diesel BSIV,942000,700000,2019,1,Individual,40000,First Owner,Diesel,Manual,26.1
8614,Toyota Yaris J CVT BSIV,1103000,950000,2018,2,Dealer,25017,First Owner,Petrol,Automatic,17.8
8615,Honda City 2017-2020 GXi,1268000,110000,2007,13,Dealer,65000,First Owner,Petrol,Manual,17.7
8616,Mercedes-Benz C-Class C 200 CGI Elegance,4886000,650000,2011,9,Dealer,59000,First Owner,Petrol,Automatic,11.74
8617,Maruti Baleno Delta 1.2,705000,595000,2017,3,Dealer,9000,First Owner,Petrol,Manual,21.4
8618,Hyundai i20 1.2 Magna,802999,484999,2016,4,Dealer,49515,First Owner,Petrol,Manual,18.5
8619,Honda City i DTec SV,1415000,630000,2016,4,Individual,68000,First Owner,Diesel,Manual,26
8620,Tata Tiago 1.2 Revotron XT,596000,475000,2018,2,Dealer,31000,First Owner,Petrol,Manual,23.84
8621,Maruti Alto 800 CNG LXI,497000,360000,2018,2,Dealer,30112,First Owner,CNG,Manual,33.44
8622,Renault KWID RXT Optional,383000,225000,2016,4,Dealer,47000,First Owner,Petrol,Manual,25.17
8623,Skoda Superb Elegance 1.8 TSI AT,3639000,449000,2010,10,Dealer,59000,First Owner,Petrol,Automatic,13.7
8624,Mahindra XUV500 W10 AWD,1605000,960000,2016,4,Individual,67000,First Owner,Diesel,Manual,16
8625,Hyundai Creta 1.6 CRDi SX Option,1170000,875000,2016,4,Individual,56000,First Owner,Diesel,Manual,19.67
8626,Honda City i VTEC CVT SV,1290000,675000,2014,6,Dealer,43000,First Owner,Petrol,Automatic,18
8627,Toyota Innova Crysta 2016-2020 2.4 VX MT BSIV,2131000,2150000,2018,2,Individual,36000,First Owner,Diesel,Manual,13.68
8628,Maruti Ignis 1.2 AMT Delta BSIV,583000,625000,2019,1,Dealer,7500,First Owner,Petrol,Automatic,20.89
8629,Hyundai i20 1.2 Spotz,778000,690000,2018,2,Dealer,32000,First Owner,Petrol,Manual,18.6
8630,Volkswagen Polo 2015-2019 GT TSI,723000,700000,2017,3,Individual,70000,First Owner,Petrol,Automatic,17.21
8631,Volkswagen Polo Petrol Highline 1.2L,740000,395000,2010,10,Dealer,50000,First Owner,Petrol,Manual,16.47
8632,Maruti Wagon R VXI,540000,276000,2012,8,Dealer,65000,First Owner,Petrol,Manual,18.9
8633,Toyota Fortuner 4x2 AT,3911999,1875000,2015,5,Dealer,59000,First Owner,Diesel,Automatic,12.55
8634,Maruti Celerio LXI Optional MT BSIV,503000,316000,2018,2,Individual,15000,First Owner,Petrol,Manual,23.1
8635,Maruti Swift Dzire AMT ZXI,715000,760000,2018,2,Individual,10000,First Owner,Petrol,Automatic,21.21
8636,Renault KWID RXT,400000,299000,2016,4,Individual,15000,First Owner,Petrol,Manual,25.17
8637,Hyundai Grand i10 AT Asta,648000,440000,2014,6,Dealer,55738,First Owner,Petrol,Automatic,18.9
8638,Hyundai i20 Magna,770000,660000,2020,0,Individual,15000,First Owner,Petrol,Manual,20.35
8639,Honda City 2017-2020 GXi,1268000,130000,2008,12,Individual,120000,First Owner,Petrol,Manual,17.7
8640,Honda Civic ZX BSIV,2227000,2100000,2019,1,Dealer,16502,First Owner,Petrol,Automatic,16.5
8641,Renault KWID RXT,376000,360000,2016,4,Individual,26500,First Owner,Petrol,Manual,25.17
8642,Honda City i DTEC SV,1479000,475000,2014,6,Dealer,68000,First Owner,Diesel,Manual,26
8643,Maruti Swift VXI,651000,462000,2015,5,Dealer,36967,First Owner,Petrol,Manual,21.21
8644,Hyundai i20 Sportz 1.4 CRDi,968000,500000,2014,6,Dealer,69500,First Owner,Diesel,Manual,21.9
8645,Volkswagen Vento 1.2 TSI Highline Plus AT,1048000,850000,2017,3,Dealer,37959,First Owner,Petrol,Automatic,18.19
8646,Mercedes-Benz C-Class C 220d Avantgarde Edition C,5432000,3350000,2017,3,Dealer,17000,First Owner,Diesel,Automatic,19.27
8647,Ford Ecosport 1.5 DV5 MT Trend,1014000,425000,2013,7,Dealer,60000,First Owner,Diesel,Manual,22.7
8648,BMW X3 xDrive20d,7814000,2195000,2014,6,Dealer,66000,First Owner,Diesel,Automatic,16.09
8649,Mahindra XUV500 W6 2WD,1732000,850000,2014,6,Individual,137000,First Owner,Diesel,Manual,15.1
8650,BMW 3 Series 320d Luxury Line,5486000,2145000,2014,6,Dealer,69000,First Owner,Diesel,Automatic,18.88
8651,Hyundai Creta 1.6 CRDi SX,1149000,1000000,2016,4,Individual,50000,First Owner,Diesel,Manual,19.67
8652,Hyundai Tucson 2.0 Dual VTVT 2WD AT GLS,2680000,1785000,2018,2,Dealer,19500,First Owner,Petrol,Automatic,12.95
8653,Volkswagen Polo GT TSI,696000,650000,2015,5,Dealer,64000,First Owner,Petrol,Automatic,17.21
8654,Hyundai i20 2015-2017 Era 1.4 CRDi,967000,650000,2017,3,Individual,120000,First Owner,Diesel,Manual,22.54
8655,Volkswagen Polo 1.2 MPI Comfortline,740000,600000,2015,5,Individual,50000,First Owner,Petrol,Manual,16.2
8656,Maruti Swift Dzire VXI,662000,450000,2015,5,Individual,20000,First Owner,Petrol,Manual,20.85
8657,BMW X1 sDrive20d,5322000,1195000,2012,8,Dealer,91000,First Owner,Diesel,Automatic,17.05
8658,Honda Amaze S i-Dtech,925000,470000,2013,7,Dealer,48000,First Owner,Diesel,Manual,25.8
8659,Maruti Eeco 5 Seater AC BSIV,480999,420000,2019,1,Individual,13500,First Owner,Petrol,Manual,15.37
8660,Maruti Ertiga ZXI Plus Petrol,922000,940000,2019,1,Individual,10000,First Owner,Petrol,Manual,19.34
8661,Hyundai Creta 1.6 VTVT AT SX Plus,1158000,1075000,2016,4,Dealer,22000,First Owner,Petrol,Automatic,13
8662,Hyundai Verna 1.6 SX VTVT (O),1056000,450000,2013,7,Dealer,78125,First Owner,Petrol,Manual,17.1
8663,Hyundai Grand i10 1.2 Kappa Asta,705000,582000,2018,2,Individual,42000,First Owner,Petrol,Manual,18.9
8664,Maruti Swift Dzire VXI,662000,440000,2015,5,Individual,52000,First Owner,Petrol,Manual,20.85
8665,Hyundai Verna Transform SX VGT CRDi,1362000,450000,2011,9,Dealer,78333,First Owner,Diesel,Manual,16.2
8666,Toyota Fortuner 2016-2021 2.8 2WD MT BSIV,4071000,2800000,2017,3,Individual,70000,First Owner,Diesel,Manual,14.24
8667,Maruti Celerio Green VXI,639000,434999,2015,5,Dealer,43000,First Owner,CNG,Manual,31.79
8668,Mahindra Bolero DI,874000,260000,2010,10,Individual,35000,First Owner,Diesel,Manual,13.6
8669,BMW 5 Series 520d Luxury Line,7604000,4900000,2019,1,Dealer,12000,First Owner,Diesel,Automatic,22.48
8670,Mercedes-Benz E-Class E 200 CGI Avantgarde,7417000,1650000,2014,6,Dealer,62000,First Owner,Petrol,Manual,12.3
8671,Hyundai i20 2015-2017 Sportz 1.2,802999,576000,2017,3,Dealer,28056,First Owner,Petrol,Manual,18.6
8672,Volkswagen Polo 2015-2019 1.2 MPI Highline,696000,535000,2016,4,Dealer,43439,First Owner,Petrol,Manual,16.2
8673,Honda Civic 1.8 V MT,2064000,235000,2008,12,Individual,90000,First Owner,Petrol,Manual,13.5
8674,Mahindra XUV500 W8 2WD,1661000,599000,2012,8,Dealer,74000,First Owner,Diesel,Manual,16
8675,Renault KWID RXT,400000,290000,2017,3,Dealer,13000,First Owner,Petrol,Manual,25.17
8676,Mahindra Bolero 2011-2019 LX 4WD NON AC BSIV,899000,750000,2018,2,Individual,30000,First Owner,Diesel,Manual,15.96
8677,Hyundai Verna 1.6 SX VTVT (O),1118000,550000,2013,7,Dealer,74832,First Owner,Petrol,Manual,17.1
8678,Ford Ecosport 2015-2021 1.5 Petrol Titanium,927000,725000,2017,3,Dealer,26000,First Owner,Petrol,Manual,15.9
8679,Honda Jazz 1.2 VX i VTEC,899000,635000,2018,2,Dealer,24265,First Owner,Petrol,Manual,18.7
8680,Skoda Octavia 1.8 TSI AT Style Plus,4536000,1780000,2017,3,Dealer,38981,First Owner,Petrol,Automatic,15.1
8681,Audi Q7 2006-2020 35 TDI Quattro Premium Plus,8059999,6350000,2017,3,Dealer,54000,First Owner,Diesel,Automatic,12.07
8682,Skoda Octavia 1.8 TSI AT Style,4536000,2190000,2018,2,Dealer,16985,First Owner,Petrol,Automatic,15.1
8683,Hyundai Santro Era,563000,420000,2019,1,Individual,20000,First Owner,Petrol,Manual,20.3
8684,Mahindra Scorpio S10 8 Seater,1449000,1269000,2017,3,Dealer,68000,First Owner,Diesel,Manual,15.4
8685,Maruti Celerio VXI AT,503000,298000,2014,6,Individual,25000,First Owner,Petrol,Automatic,23.1
8686,Volkswagen Polo 1.2 MPI Comfortline,694000,450000,2014,6,Dealer,25000,First Owner,Petrol,Manual,16.47
8687,Honda WR-V i-VTEC VX,960000,799000,2019,1,Dealer,23500,First Owner,Petrol,Manual,17.5
8688,Mahindra Scorpio 2009-2014 SLE 7S BSIV,1642000,525000,2009,11,Dealer,80000,First Owner,Diesel,Manual,12.05
8689,Hyundai i20 1.4 Sportz,926000,600000,2017,3,Individual,54000,First Owner,Diesel,Manual,22.54
8690,Honda City 1.5 V MT Exclusive,1234000,350000,2011,9,Dealer,39000,First Owner,Petrol,Manual,17
8691,Skoda Rapid 1.6 MPI AT Elegance Plus,934000,525000,2012,8,Dealer,91000,First Owner,Petrol,Automatic,14.3
8692,Hyundai Verna CRDi 1.6 AT SX Plus,1284000,1200000,2018,2,Dealer,32000,First Owner,Diesel,Automatic,22
8693,Mahindra XUV500 W6 2WD,1654000,700000,2014,6,Dealer,66746,First Owner,Diesel,Manual,15.1
8694,Maruti Celerio ZXI MT BSIV,525000,509999,2019,1,Individual,7000,First Owner,Petrol,Manual,23.1
8695,Maruti Wagon R VXI Optional,516000,459999,2018,2,Individual,13500,First Owner,Petrol,Manual,20.51
8696,Maruti Alto 800 CNG LXI,497000,300000,2017,3,Dealer,26000,First Owner,CNG,Manual,33.44
8697,Mahindra Bolero 2011-2019 SLX 2WD BSIII,867000,420000,2013,7,Individual,110000,First Owner,Diesel,Manual,15.96
8698,Volkswagen Polo GT TSI BSIV,740000,985000,2018,2,Dealer,26606,First Owner,Petrol,Automatic,0
8699,Hyundai Venue SX Opt Diesel BSIV,935000,1050000,2019,1,Individual,20000,First Owner,Diesel,Manual,23.7
8700,Kia Seltos GTX Plus DCT,1115000,1750000,2019,1,Individual,10000,First Owner,Petrol,Automatic,16.8
8701,Hyundai Verna VTVT 1.6 SX Option,1118000,1150000,2018,2,Individual,20000,First Owner,Petrol,Manual,17
8702,Honda City i VTEC V,1268000,900000,2018,2,Dealer,31000,First Owner,Petrol,Manual,17.4
8703,Toyota Innova Crysta 2016-2020 2.4 ZX MT,1989999,1650000,2017,3,Dealer,65000,First Owner,Diesel,Manual,13.68
8704,Hyundai Grand i10 1.2 Kappa Magna BSIV,706000,499000,2018,2,Dealer,13000,First Owner,Petrol,Manual,18.9
8705,Toyota Innova Crysta 2016-2020 2.4 VX MT 8S BSIV,2080000,1750000,2016,4,Individual,90000,First Owner,Diesel,Manual,13.68
8706,Maruti Ertiga VXI,861999,825000,2018,2,Dealer,21000,First Owner,Petrol,Manual,16.02
8707,Renault KWID RXT,377000,298000,2017,3,Dealer,49000,First Owner,Petrol,Manual,25.17
8708,BMW 5 Series 520d Luxury Line,7604000,1745000,2013,7,Dealer,40500,First Owner,Diesel,Automatic,18.12
8709,Maruti Celerio ZXI AT Optional,526000,409999,2017,3,Individual,50000,First Owner,Petrol,Automatic,23.1
8710,Volkswagen Polo 2015-2019 1.0 MPI Trendline,723000,319000,2012,8,Dealer,58000,First Owner,Petrol,Manual,18.78
8711,Maruti Swift VXI,604000,450000,2015,5,Dealer,38000,First Owner,Petrol,Manual,21.21
8712,Mahindra Bolero 2011-2019 SLX,942000,635000,2015,5,Individual,30000,First Owner,Diesel,Manual,15.96
8713,Toyota Innova Crysta 2016-2020 2.4 GX MT 8 STR,2073000,1798999,2018,2,Dealer,35311,First Owner,Diesel,Manual,13.68
8714,Maruti Wagon R VXI Opt,571000,450000,2016,4,Dealer,24000,First Owner,Petrol,Manual,21.79
8715,Honda Jazz 1.2 V AT i VTEC Privilege,923000,725000,2017,3,Individual,35000,First Owner,Petrol,Automatic,19
8716,Tata Hexa XTA,1410000,1400000,2018,2,Dealer,69000,First Owner,Diesel,Automatic,17.6
8717,Maruti Swift Dzire Tour LXI,632000,191000,2014,6,Individual,110000,First Owner,Petrol,Manual,19
8718,Renault KWID AMT RXL,376000,380000,2017,3,Individual,60000,First Owner,Petrol,Automatic,24.04
8719,Ford Ecosport 2015-2021 1.5 Petrol Trend Plus AT BSIV,990000,1075000,2018,2,Dealer,11000,First Owner,Petrol,Automatic,14.8
8720,Ford Ecosport 2015-2021 1.5 Petrol Titanium Plus AT BSIV,990000,1125000,2019,1,Dealer,19375,First Owner,Petrol,Automatic,14.8
8721,Maruti Alto 800 LXI,360000,285000,2015,5,Dealer,22000,First Owner,Petrol,Manual,22.74
8722,Volkswagen Polo GT TSI,723000,525000,2014,6,Dealer,62000,First Owner,Petrol,Automatic,17.21
8723,Honda City 1.5 V MT,1362000,785000,2015,5,Dealer,31996,First Owner,Petrol,Manual,17
8724,Hyundai Grand i10 Sportz,675000,360000,2014,6,Individual,50000,First Owner,Petrol,Manual,18.9
8725,Maruti Swift LXI Option,683000,509999,2015,5,Dealer,65000,First Owner,Petrol,Manual,20.4
8726,Tata Nexon 1.5 Revotorq XZ Plus,1018000,1000000,2018,2,Individual,36000,First Owner,Diesel,Manual,21.5
8727,Hyundai Verna CRDi 1.6 EX,1315000,960000,2018,2,Individual,35000,First Owner,Diesel,Manual,22
8728,Tata Tiago 1.2 Revotron XZ,559000,425000,2017,3,Individual,15000,First Owner,Petrol,Manual,23.84
8729,Honda City i DTec S,1545000,625000,2015,5,Dealer,71000,First Owner,Diesel,Manual,26
8730,BMW 5 Series 525d Sedan,7604000,1675000,2012,8,Dealer,72133,First Owner,Diesel,Automatic,16.73
8731,Volkswagen Polo 1.2 MPI Comfortline,740000,675000,2017,3,Dealer,55000,First Owner,Petrol,Manual,16.2
8732,Maruti Alto 800 LXI,350000,200000,2014,6,Individual,30000,First Owner,Petrol,Manual,22.74
8733,Hyundai i20 Magna Plus BSIV,770000,600000,2019,1,Individual,10000,First Owner,Petrol,Manual,18.6
8734,Skoda Rapid 1.6 MPI AT Ambition BSIV,934000,950000,2019,1,Individual,20000,First Owner,Petrol,Automatic,14.84
8735,Mercedes-Benz C-Class C 220 CDI Avantgarde,5216000,1175000,2013,7,Dealer,60500,First Owner,Diesel,Automatic,19.27
